            TIME         VOLTAGE         CURRENT
          0.0263         9.17755         4.49278
          0.0264         9.04827         4.58326
          0.0265         8.91007         4.67237
          0.0266         8.76307            4.76
          0.0267         8.60742         4.84607
          0.0268         8.44328          4.9305
          0.0269         8.27081         5.01321
           0.027         8.09017         5.09411
          0.0271         7.90155         5.17313
          0.0272         7.70513         5.25018
          0.0273         7.50111         5.32519
          0.0274         7.28969         5.39809
          0.0275         7.07107          5.4688
          0.0276         6.84547         5.53725
          0.0277         6.61312         5.60338
          0.0278         6.37424         5.66713
          0.0279         6.12907         5.72842
           0.028         5.87785          5.7872
          0.0281         5.62083          5.8434
          0.0282         5.35827         5.89699
          0.0283         5.09041         5.94789
          0.0284         4.81754         5.99607
          0.0285          4.5399         6.04147
          0.0286         4.25779         6.08404
          0.0287         3.97148         6.12376
          0.0288         3.68125         6.16057
          0.0289         3.38738         6.19444
           0.029         3.09017         6.22535
          0.0291         2.78991         6.25324
          0.0292          2.4869         6.27811
          0.0293         2.18143         6.29993
          0.0294         1.87381         6.31867
          0.0295         1.56434         6.33431
          0.0296         1.25333         6.34684
          0.0297        0.941083         6.35625
          0.0298        0.627905         6.36253
          0.0299        0.314108         6.36567
            0.03     3.94472e-13         6.36567
          0.0301       -0.314108         6.36253
          0.0302       -0.627905         6.35625
          0.0303       -0.941083         6.34684
          0.0304        -1.25333         6.33431
          0.0305        -1.56434         6.31867
          0.0306        -1.87381         6.29993
          0.0307        -2.18143         6.27811
          0.0308         -2.4869         6.25324
          0.0309        -2.78991         6.22535
           0.031        -3.09017         6.19444
          0.0311        -3.38738         6.16057
          0.0312        -3.68125         6.12376
          0.0313        -3.97148         6.08404
          0.0314        -4.25779         6.04147
          0.0315         -4.5399         5.99607
          0.0316        -4.81754         5.94789
          0.0317        -5.09041         5.89699
          0.0318        -5.35827          5.8434
          0.0319        -5.62083          5.7872
           0.032        -5.87785         5.72842
          0.0321        -6.12907         5.66713
          0.0322        -6.37424         5.60338
          0.0323        -6.61312         5.53725
          0.0324        -6.84547          5.4688
          0.0325        -7.07107         5.39809
          0.0326        -7.28969         5.32519
          0.0327        -7.50111         5.25018
          0.0328        -7.70513         5.17313
          0.0329        -7.90155         5.09411
           0.033        -8.09017         5.01321
          0.0331        -8.27081          4.9305
          0.0332        -8.44328         4.84607
          0.0333        -8.60742            4.76
          0.0334        -8.76307         4.67237
          0.0335        -8.91007         4.58326
          0.0336        -9.04827         4.49278
          0.0337        -9.17755         4.40101
          0.0338        -9.29776         4.30803
          0.0339        -9.40881         4.21394
           0.034        -9.51057         4.11883
          0.0341        -9.60294         4.02281
          0.0342        -9.68583         3.92595
          0.0343        -9.75917         3.82836
          0.0344        -9.82287         3.73013
          0.0345        -9.87688         3.63136
          0.0346        -9.92115         3.53215
          0.0347        -9.95562         3.43259
          0.0348        -9.98027         3.33279
          0.0349        -9.99507         3.23284
           0.035             -10         3.13284
          0.0351        -9.99507         3.03289
          0.0352        -9.98027         2.93308
          0.0353        -9.95562         2.83353
          0.0354        -9.92115         2.73432
          0.0355        -9.87688         2.63555
          0.0356        -9.82287         2.53732
          0.0357        -9.75917         2.43973
          0.0358        -9.68583         2.34287
          0.0359        -9.60294         2.24684
           0.036        -9.51057         2.15173
          0.0361        -9.40881         2.05765
          0.0362        -9.29776         1.96467
          0.0363        -9.17755         1.87289
          0.0364        -9.04827         1.78241
          0.0365        -8.91007         1.69331
          0.0366        -8.76307         1.60568
          0.0367        -8.60742          1.5196
          0.0368        -8.44328         1.43517
          0.0369        -8.27081         1.35246
           0.037        -8.09017         1.27156
          0.0371        -7.90155         1.19255
          0.0372        -7.70513         1.11549
          0.0373        -7.50111         1.04048
          0.0374        -7.28969        0.967587
          0.0375        -7.07107        0.896876
          0.0376        -6.84547        0.828421
          0.0377        -6.61312         0.76229
          0.0378        -6.37424        0.698548
          0.0379        -6.12907        0.637257
           0.038        -5.87785        0.578479
          0.0381        -5.62083         0.52227
          0.0382        -5.35827        0.468688
          0.0383        -5.09041        0.417783
          0.0384        -4.81754        0.369608
          0.0385         -4.5399        0.324209
          0.0386        -4.25779        0.281631
          0.0387        -3.97148        0.241916
          0.0388        -3.68125        0.205104
          0.0389        -3.38738         0.17123
           0.039        -3.09017        0.140328
          0.0391        -2.78991        0.112429
          0.0392         -2.4869       0.0875602
          0.0393        -2.18143       0.0657459
          0.0394        -1.87381       0.0470077
          0.0395        -1.56434       0.0313643
          0.0396        -1.25333        0.018831
          0.0397       -0.941083      0.00942013
          0.0398       -0.627905      0.00314108
          0.0399       -0.314108     1.65661e-13
            0.04     3.68136e-13     1.69343e-13
          0.0401        0.314108      0.00314108
          0.0402        0.627905      0.00942013
          0.0403        0.941083        0.018831
          0.0404         1.25333       0.0313643
          0.0405         1.56434       0.0470077
          0.0406         1.87381       0.0657459
          0.0407         2.18143       0.0875602
          0.0408          2.4869        0.112429
          0.0409         2.78991        0.140328
           0.041         3.09017         0.17123
          0.0411         3.38738        0.205104
          0.0412         3.68125        0.241916
          0.0413         3.97148        0.281631
          0.0414         4.25779        0.324209
          0.0415          4.5399        0.369608
          0.0416         4.81754        0.417783
          0.0417         5.09041        0.468688
          0.0418         5.35827         0.52227
          0.0419         5.62083        0.578479
           0.042         5.87785        0.637257
          0.0421         6.12907        0.698548
          0.0422         6.37424         0.76229
          0.0423         6.61312        0.828421
          0.0424         6.84547        0.896876
          0.0425         7.07107        0.967587
          0.0426         7.28969         1.04048
          0.0427         7.50111         1.11549
          0.0428         7.70513         1.19255
          0.0429         7.90155         1.27156
           0.043         8.09017         1.35246
          0.0431         8.27081         1.43517
          0.0432         8.44328          1.5196
          0.0433         8.60742         1.60568
          0.0434         8.76307         1.69331
          0.0435         8.91007         1.78241
          0.0436         9.04827         1.87289
          0.0437         9.17755         1.96467
          0.0438         9.29776         2.05765
          0.0439         9.40881         2.15173
           0.044         9.51057         2.24684
          0.0441         9.60294         2.34287
          0.0442         9.68583         2.43973
          0.0443         9.75917         2.53732
          0.0444         9.82287         2.63555
          0.0445         9.87688         2.73432
          0.0446         9.92115         2.83353
          0.0447         9.95562         2.93308
          0.0448         9.98027         3.03289
          0.0449         9.99507         3.13284
           0.045              10         3.23284
          0.0451         9.99507         3.33279
          0.0452         9.98027         3.43259
