ens33: tx_bytes:581451 rx_bytes:9085039 tx_packets:6640 rx_packets: 11126
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:581827 rx_bytes:9085099 tx_packets:6644 rx_packets: 11127
ens33: tx_bytes:582195 rx_bytes:9085159 tx_packets:6648 rx_packets: 11128
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:582301 rx_bytes:9085219 tx_packets:6649 rx_packets: 11129
ens33: tx_bytes:582407 rx_bytes:9085279 tx_packets:6650 rx_packets: 11130
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:582513 rx_bytes:9085339 tx_packets:6651 rx_packets: 11131
ens33: tx_bytes:582799 rx_bytes:9085549 tx_packets:6654 rx_packets: 11134
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:583159 rx_bytes:9086149 tx_packets:6658 rx_packets: 11142
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:583789 rx_bytes:9087199 tx_packets:6665 rx_packets: 11156
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:583879 rx_bytes:9087349 tx_packets:6666 rx_packets: 11158
ens33: tx_bytes:585523 rx_bytes:9089089 tx_packets:6684 rx_packets: 11181
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:585883 rx_bytes:9089209 tx_packets:6688 rx_packets: 11183
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:585883 rx_bytes:9089209 tx_packets:6688 rx_packets: 11183
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:585883 rx_bytes:9089209 tx_packets:6688 rx_packets: 11183
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:586063 rx_bytes:9089509 tx_packets:6690 rx_packets: 11187
