      Time   Voltage  Inductor Capacitor  Resistor     Total
    0.0130  -80.9017   50.1321   -1.8862   -8.0902   40.1557
    0.0131  -82.7081   49.3050   -1.8064   -8.2708   39.2279
    0.0132  -84.4328   48.4607   -1.7247   -8.4433   38.2927
    0.0133  -86.0742   47.6000   -1.6414   -8.6074   37.3511
    0.0134  -87.6307   46.7237   -1.5565   -8.7631   36.4041
    0.0135  -89.1007   45.8326   -1.4700   -8.9101   35.4526
    0.0136  -90.4827   44.9278   -1.3821   -9.0483   34.4975
    0.0137  -91.7755   44.0101   -1.2928   -9.1775   33.5398
    0.0138  -92.9776   43.0803   -1.2022   -9.2978   32.5803
    0.0139  -94.0881   42.1394   -1.1104   -9.4088   31.6202
    0.0140  -95.1057   41.1883   -1.0176   -9.5106   30.6602
    0.0141  -96.0294   40.2281   -0.9237   -9.6029   29.7014
    0.0142  -96.8583   39.2595   -0.8289   -9.6858   28.7447
    0.0143  -97.5917   38.2836   -0.7334   -9.7592   27.7910
    0.0144  -98.2287   37.3013   -0.6370   -9.8229   26.8413
    0.0145  -98.7688   36.3136   -0.5401   -9.8769   25.8966
    0.0146  -99.2115   35.3215   -0.4426   -9.9211   24.9577
    0.0147  -99.5562   34.3259   -0.3447   -9.9556   24.0256
    0.0148  -99.8027   33.3279   -0.2465   -9.9803   23.1011
    0.0149  -99.9507   32.3284   -0.1480   -9.9951   22.1853
    0.0150 -100.0000   31.3284   -0.0493  -10.0000   21.2790
    0.0151  -99.9507   30.3289    0.0493   -9.9951   20.3831
    0.0152  -99.8027   29.3308    0.1480   -9.9803   19.4986
    0.0153  -99.5562   28.3353    0.2465   -9.9556   18.6261
    0.0154  -99.2115   27.3432    0.3447   -9.9211   17.7667
    0.0155  -98.7688   26.3555    0.4426   -9.8769   16.9212
    0.0156  -98.2287   25.3732    0.5401   -9.8229   16.0904
    0.0157  -97.5917   24.3973    0.6370   -9.7592   15.2751
    0.0158  -96.8583   23.4287    0.7334   -9.6858   14.4762
    0.0159  -96.0294   22.4684    0.8289   -9.6029   13.6944
    0.0160  -95.1057   21.5173    0.9237   -9.5106   12.9305
    0.0161  -94.0881   20.5765    1.0176   -9.4088   12.1852
    0.0162  -92.9776   19.6467    1.1104   -9.2978   11.4593
    0.0163  -91.7755   18.7289    1.2022   -9.1775   10.7536
    0.0164  -90.4827   17.8241    1.2928   -9.0483   10.0686
    0.0165  -89.1007   16.9331    1.3821   -8.9101    9.4051
    0.0166  -87.6307   16.0568    1.4700   -8.7631    8.7637
    0.0167  -86.0742   15.1960    1.5565   -8.6074    8.1451
    0.0168  -84.4328   14.3517    1.6414   -8.4433    7.5498
    0.0169  -82.7081   13.5246    1.7247   -8.2708    6.9786
    0.0170  -80.9017   12.7156    1.8064   -8.0902    6.4318
    0.0171  -79.0155   11.9255    1.8862   -7.9016    5.9101
    0.0172  -77.0513   11.1549    1.9642   -7.7051    5.4140
    0.0173  -75.0111   10.4048    2.0402   -7.5011    4.9439
    0.0174  -72.8969    9.6759    2.1142   -7.2897    4.5004
    0.0175  -70.7107    8.9688    2.1862   -7.0711    4.0839
    0.0176  -68.4547    8.2842    2.2560   -6.8455    3.6947
    0.0177  -66.1312    7.6229    2.3235   -6.6131    3.3333
    0.0178  -63.7424    6.9855    2.3888   -6.3742    3.0000
    0.0179  -61.2907    6.3726    2.4517   -6.1291    2.6952
    0.0180  -58.7785    5.7848    2.5122   -5.8779    2.4191
    0.0181  -56.2083    5.2227    2.5702   -5.6208    2.1721
    0.0182  -53.5827    4.6869    2.6257   -5.3583    1.9543
    0.0183  -50.9041    4.1778    2.6785   -5.0904    1.7660
    0.0184  -48.1754    3.6961    2.7288   -4.8175    1.6073
    0.0185  -45.3990    3.2421    2.7763   -4.5399    1.4785
    0.0186  -42.5779    2.8163    2.8211   -4.2578    1.3796
    0.0187  -39.7148    2.4192    2.8631   -3.9715    1.3108
    0.0188  -36.8125    2.0510    2.9023   -3.6812    1.2721
    0.0189  -33.8738    1.7123    2.9387   -3.3874    1.2636
    0.0190  -30.9017    1.4033    2.9721   -3.0902    1.2852
    0.0191  -27.8991    1.1243    3.0026   -2.7899    1.3370
    0.0192  -24.8690    0.8756    3.0301   -2.4869    1.4188
    0.0193  -21.8143    0.6575    3.0547   -2.1814    1.5307
    0.0194  -18.7381    0.4701    3.0762   -1.8738    1.6725
    0.0195  -15.6434    0.3136    3.0947   -1.5643    1.8440
    0.0196  -12.5333    0.1883    3.1101   -1.2533    2.0451
    0.0197   -9.4108    0.0942    3.1225   -0.9411    2.2756
    0.0198   -6.2791    0.0314    3.1318   -0.6279    2.5353
    0.0199   -3.1411   -0.0000    3.1380   -0.3141    2.8239
    0.0200   -0.0000   -0.0000    3.1411   -0.0000    3.1411
    0.0201    3.1411    0.0314    3.1411    0.3141    3.4866
    0.0202    6.2791    0.0942    3.1380    0.6279    3.8601
    0.0203    9.4108    0.1883    3.1318    0.9411    4.2612
    0.0204   12.5333    0.3136    3.1225    1.2533    4.6895
    0.0205   15.6434    0.4701    3.1101    1.5643    5.1445
    0.0206   18.7381    0.6575    3.0947    1.8738    5.6260
    0.0207   21.8143    0.8756    3.0762    2.1814    6.1332
    0.0208   24.8690    1.1243    3.0547    2.4869    6.6659
    0.0209   27.8991    1.4033    3.0301    2.7899    7.2233
    0.0210   30.9017    1.7123    3.0026    3.0902    7.8051
    0.0211   33.8738    2.0510    2.9721    3.3874    8.4105
    0.0212   36.8125    2.4192    2.9387    3.6812    9.0391
    0.0213   39.7148    2.8163    2.9023    3.9715    9.6901
    0.0214   42.5779    3.2421    2.8631    4.2578   10.3630
    0.0215   45.3990    3.6961    2.8211    4.5399   11.0571
    0.0216   48.1754    4.1778    2.7763    4.8175   11.7717
    0.0217   50.9041    4.6869    2.7288    5.0904   12.5061
    0.0218   53.5827    5.2227    2.6785    5.3583   13.2595
    0.0219   56.2083    5.7848    2.6257    5.6208   14.0313
    0.0220   58.7785    6.3726    2.5702    5.8779   14.8206
    0.0221   61.2907    6.9855    2.5122    6.1291   15.6267
    0.0222   63.7424    7.6229    2.4517    6.3742   16.4488
    0.0223   66.1312    8.2842    2.3888    6.6131   17.2861
    0.0224   68.4547    8.9688    2.3235    6.8455   18.1378
    0.0225   70.7107    9.6759    2.2560    7.0711   19.0029
    0.0226   72.8969   10.4048    2.1862    7.2897   19.8807
    0.0227   75.0111   11.1549    2.1142    7.5011   20.7703
    0.0228   77.0513   11.9255    2.0402    7.7051   21.6708
    0.0229   79.0155   12.7156    1.9642    7.9016   22.5813
    0.0230   80.9017   13.5246    1.8862    8.0902   23.5010
    0.0231   82.7081   14.3517    1.8064    8.2708   24.4289
    0.0232   84.4328   15.1960    1.7247    8.4433   25.3641
    0.0233   86.0742   16.0568    1.6414    8.6074   26.3056
    0.0234   87.6307   16.9331    1.5565    8.7631   27.2526
    0.0235   89.1007   17.8241    1.4700    8.9101   28.2041
    0.0236   90.4827   18.7289    1.3821    9.0483   29.1592
    0.0237   91.7755   19.6467    1.2928    9.1775   30.1170
    0.0238   92.9776   20.5765    1.2022    9.2978   31.0764
    0.0239   94.0881   21.5173    1.1104    9.4088   32.0366
    0.0240   95.1057   22.4684    1.0176    9.5106   32.9965
    0.0241   96.0294   23.4287    0.9237    9.6029   33.9553
    0.0242   96.8583   24.3973    0.8289    9.6858   34.9120
    0.0243   97.5917   25.3732    0.7334    9.7592   35.8657
    0.0244   98.2287   26.3555    0.6370    9.8229   36.8154
    0.0245   98.7688   27.3432    0.5401    9.8769   37.7602
    0.0246   99.2115   28.3353    0.4426    9.9211   38.6991
    0.0247   99.5562   29.3308    0.3447    9.9556   39.6312
    0.0248   99.8027   30.3289    0.2465    9.9803   40.5556
    0.0249   99.9507   31.3284    0.1480    9.9951   41.4714
    0.0250  100.0000   32.3284    0.0493   10.0000   42.3777
    0.0251   99.9507   33.3279   -0.0493    9.9951   43.2736
    0.0252   99.8027   34.3259   -0.1480    9.9803   44.1582
    0.0253   99.5562   35.3215   -0.2465    9.9556   45.0306
    0.0254   99.2115   36.3136   -0.3447    9.9211   45.8900
    0.0255   98.7688   37.3013   -0.4426    9.8769   46.7355
    0.0256   98.2287   38.2836   -0.5401    9.8229   47.5663
    0.0257   97.5917   39.2595   -0.6370    9.7592   48.3816
    0.0258   96.8583   40.2281   -0.7334    9.6858   49.1805
    0.0259   96.0294   41.1883   -0.8289    9.6029   49.9623
    0.0260   95.1057   42.1394   -0.9237    9.5106   50.7263
    0.0261   94.0881   43.0803   -1.0176    9.4088   51.4715
    0.0262   92.9776   44.0101   -1.1104    9.2978   52.1974
    0.0263   91.7755   44.9278   -1.2022    9.1775   52.9032
    0.0264   90.4827   45.8326   -1.2928    9.0483   53.5882
    0.0265   89.1007   46.7237   -1.3821    8.9101   54.2517
    0.0266   87.6307   47.6000   -1.4700    8.7631   54.8930
    0.0267   86.0742   48.4607   -1.5565    8.6074   55.5117
    0.0268   84.4328   49.3050   -1.6414    8.4433   56.1069
    0.0269   82.7081   50.1321   -1.7247    8.2708   56.6782
    0.0270   80.9017   50.9411   -1.8064    8.0902   57.2249
    0.0271   79.0155   51.7313   -1.8862    7.9016   57.7466
    0.0272   77.0513   52.5018   -1.9642    7.7051   58.2427
    0.0273   75.0111   53.2519   -2.0402    7.5011   58.7128
    0.0274   72.8969   53.9809   -2.1142    7.2897   59.1563
    0.0275   70.7107   54.6880   -2.1862    7.0711   59.5729
    0.0276   68.4547   55.3725   -2.2560    6.8455   59.9620
    0.0277   66.1312   56.0338   -2.3235    6.6131   60.3234
    0.0278   63.7424   56.6713   -2.3888    6.3742   60.6567
    0.0279   61.2907   57.2842   -2.4517    6.1291   60.9615
    0.0280   58.7785   57.8720   -2.5122    5.8779   61.2376
    0.0281   56.2083   58.4340   -2.5702    5.6208   61.4847
    0.0282   53.5827   58.9699   -2.6257    5.3583   61.7025
    0.0283   50.9041   59.4789   -2.6785    5.0904   61.8908
    0.0284   48.1754   59.9607   -2.7288    4.8175   62.0494
    0.0285   45.3990   60.4147   -2.7763    4.5399   62.1782
    0.0286   42.5779   60.8404   -2.8211    4.2578   62.2771
    0.0287   39.7148   61.2376   -2.8631    3.9715   62.3459
    0.0288   36.8125   61.6057   -2.9023    3.6812   62.3846
    0.0289   33.8738   61.9444   -2.9387    3.3874   62.3932
    0.0290   30.9017   62.2535   -2.9721    3.0902   62.3715
    0.0291   27.8991   62.5324   -3.0026    2.7899   62.3198
    0.0292   24.8690   62.7811   -3.0301    2.4869   62.2379
    0.0293   21.8143   62.9993   -3.0547    2.1814   62.1261
    0.0294   18.7381   63.1867   -3.0762    1.8738   61.9843
    0.0295   15.6434   63.3431   -3.0947    1.5643   61.8128
    0.0296   12.5333   63.4684   -3.1101    1.2533   61.6116
    0.0297    9.4108   63.5625   -3.1225    0.9411   61.3811
    0.0298    6.2791   63.6253   -3.1318    0.6279   61.1215
    0.0299    3.1411   63.6567   -3.1380    0.3141   60.8329
    0.0300    0.0000   63.6567   -3.1411    0.0000   60.5157
    0.0301   -3.1411   63.6253   -3.1411   -0.3141   60.1701
    0.0302   -6.2791   63.5625   -3.1380   -0.6279   59.7967
    0.0303   -9.4108   63.4684   -3.1318   -0.9411   59.3956
    0.0304  -12.5333   63.3431   -3.1225   -1.2533   58.9673
    0.0305  -15.6434   63.1867   -3.1101   -1.5643   58.5122
    0.0306  -18.7381   62.9993   -3.0947   -1.8738   58.0308
    0.0307  -21.8143   62.7811   -3.0762   -2.1814   57.5235
    0.0308  -24.8690   62.5324   -3.0547   -2.4869   56.9909
    0.0309  -27.8991   62.2535   -3.0301   -2.7899   56.4334
    0.0310  -30.9017   61.9444   -3.0026   -3.0902   55.8517
    0.0311  -33.8738   61.6057   -2.9721   -3.3874   55.2462
    0.0312  -36.8125   61.2376   -2.9387   -3.6812   54.6177
    0.0313  -39.7148   60.8404   -2.9023   -3.9715   53.9666
    0.0314  -42.5779   60.4147   -2.8631   -4.2578   53.2937
    0.0315  -45.3990   59.9607   -2.8211   -4.5399   52.5996
    0.0316  -48.1754   59.4789   -2.7763   -4.8175   51.8851
    0.0317  -50.9041   58.9699   -2.7288   -5.0904   51.1507
    0.0318  -53.5827   58.4340   -2.6785   -5.3583   50.3972
    0.0319  -56.2083   57.8720   -2.6257   -5.6208   49.6255
    0.0320  -58.7785   57.2842   -2.5702   -5.8779   48.8361
    0.0321  -61.2907   56.6713   -2.5122   -6.1291   48.0300
    0.0322  -63.7424   56.0338   -2.4517   -6.3742   47.2079
