      Time   Voltage  Inductor Capacitor  Resistor     Total
    0.0859   96.0294   41.1883   -0.8289    9.6029   49.9623
    0.0860   95.1057   42.1394   -0.9237    9.5106   50.7263
    0.0861   94.0881   43.0803   -1.0176    9.4088   51.4715
    0.0862   92.9776   44.0101   -1.1104    9.2978   52.1974
    0.0863   91.7755   44.9278   -1.2022    9.1775   52.9032
    0.0864   90.4827   45.8326   -1.2928    9.0483   53.5882
    0.0865   89.1007   46.7237   -1.3821    8.9101   54.2517
    0.0866   87.6307   47.6000   -1.4700    8.7631   54.8930
    0.0867   86.0742   48.4607   -1.5565    8.6074   55.5117
    0.0868   84.4328   49.3050   -1.6414    8.4433   56.1069
    0.0869   82.7081   50.1321   -1.7247    8.2708   56.6782
    0.0870   80.9017   50.9411   -1.8064    8.0902   57.2249
    0.0871   79.0155   51.7313   -1.8862    7.9016   57.7466
    0.0872   77.0513   52.5018   -1.9642    7.7051   58.2427
    0.0873   75.0111   53.2519   -2.0402    7.5011   58.7128
    0.0874   72.8969   53.9809   -2.1142    7.2897   59.1563
    0.0875   70.7107   54.6880   -2.1862    7.0711   59.5729
    0.0876   68.4547   55.3725   -2.2560    6.8455   59.9620
    0.0877   66.1312   56.0338   -2.3235    6.6131   60.3234
    0.0878   63.7424   56.6713   -2.3888    6.3742   60.6567
    0.0879   61.2907   57.2842   -2.4517    6.1291   60.9615
    0.0880   58.7785   57.8720   -2.5122    5.8779   61.2376
    0.0881   56.2083   58.4340   -2.5702    5.6208   61.4847
    0.0882   53.5827   58.9699   -2.6257    5.3583   61.7025
    0.0883   50.9041   59.4789   -2.6785    5.0904   61.8908
    0.0884   48.1754   59.9607   -2.7288    4.8175   62.0494
    0.0885   45.3990   60.4147   -2.7763    4.5399   62.1782
    0.0886   42.5779   60.8404   -2.8211    4.2578   62.2771
    0.0887   39.7148   61.2376   -2.8631    3.9715   62.3459
    0.0888   36.8125   61.6057   -2.9023    3.6812   62.3846
    0.0889   33.8738   61.9444   -2.9387    3.3874   62.3932
    0.0890   30.9017   62.2535   -2.9721    3.0902   62.3715
    0.0891   27.8991   62.5324   -3.0026    2.7899   62.3198
    0.0892   24.8690   62.7811   -3.0301    2.4869   62.2379
    0.0893   21.8143   62.9993   -3.0547    2.1814   62.1261
    0.0894   18.7381   63.1867   -3.0762    1.8738   61.9843
    0.0895   15.6434   63.3431   -3.0947    1.5643   61.8128
    0.0896   12.5333   63.4684   -3.1101    1.2533   61.6116
    0.0897    9.4108   63.5625   -3.1225    0.9411   61.3811
    0.0898    6.2791   63.6253   -3.1318    0.6279   61.1215
    0.0899    3.1411   63.6567   -3.1380    0.3141   60.8329
    0.0900   -0.0000   63.6567   -3.1411   -0.0000   60.5157
    0.0901   -3.1411   63.6253   -3.1411   -0.3141   60.1701
    0.0902   -6.2791   63.5625   -3.1380   -0.6279   59.7967
    0.0903   -9.4108   63.4684   -3.1318   -0.9411   59.3956
    0.0904  -12.5333   63.3431   -3.1225   -1.2533   58.9673
    0.0905  -15.6434   63.1867   -3.1101   -1.5643   58.5122
    0.0906  -18.7381   62.9993   -3.0947   -1.8738   58.0308
    0.0907  -21.8143   62.7811   -3.0762   -2.1814   57.5235
    0.0908  -24.8690   62.5324   -3.0547   -2.4869   56.9909
    0.0909  -27.8991   62.2535   -3.0301   -2.7899   56.4334
    0.0910  -30.9017   61.9444   -3.0026   -3.0902   55.8517
    0.0911  -33.8738   61.6057   -2.9721   -3.3874   55.2462
    0.0912  -36.8125   61.2376   -2.9387   -3.6812   54.6177
    0.0913  -39.7148   60.8404   -2.9023   -3.9715   53.9666
    0.0914  -42.5779   60.4147   -2.8631   -4.2578   53.2937
    0.0915  -45.3990   59.9607   -2.8211   -4.5399   52.5996
    0.0916  -48.1754   59.4789   -2.7763   -4.8175   51.8851
    0.0917  -50.9041   58.9699   -2.7288   -5.0904   51.1507
    0.0918  -53.5827   58.4340   -2.6785   -5.3583   50.3972
    0.0919  -56.2083   57.8720   -2.6257   -5.6208   49.6255
    0.0920  -58.7785   57.2842   -2.5702   -5.8779   48.8361
    0.0921  -61.2907   56.6713   -2.5122   -6.1291   48.0300
    0.0922  -63.7424   56.0338   -2.4517   -6.3742   47.2079
    0.0923  -66.1312   55.3725   -2.3888   -6.6131   46.3706
    0.0924  -68.4547   54.6880   -2.3235   -6.8455   45.5190
    0.0925  -70.7107   53.9809   -2.2560   -7.0711   44.6538
    0.0926  -72.8969   53.2519   -2.1862   -7.2897   43.7760
    0.0927  -75.0111   52.5018   -2.1142   -7.5011   42.8864
    0.0928  -77.0513   51.7313   -2.0402   -7.7051   41.9859
    0.0929  -79.0155   50.9411   -1.9642   -7.9016   41.0754
    0.0930  -80.9017   50.1321   -1.8862   -8.0902   40.1557
    0.0931  -82.7081   49.3050   -1.8064   -8.2708   39.2279
    0.0932  -84.4328   48.4607   -1.7247   -8.4433   38.2927
    0.0933  -86.0742   47.6000   -1.6414   -8.6074   37.3511
    0.0934  -87.6307   46.7237   -1.5565   -8.7631   36.4041
    0.0935  -89.1007   45.8326   -1.4700   -8.9101   35.4526
    0.0936  -90.4827   44.9278   -1.3821   -9.0483   34.4975
    0.0937  -91.7755   44.0101   -1.2928   -9.1775   33.5398
    0.0938  -92.9776   43.0803   -1.2022   -9.2978   32.5803
    0.0939  -94.0881   42.1394   -1.1104   -9.4088   31.6202
    0.0940  -95.1057   41.1883   -1.0176   -9.5106   30.6602
    0.0941  -96.0294   40.2281   -0.9237   -9.6029   29.7014
    0.0942  -96.8583   39.2595   -0.8289   -9.6858   28.7447
    0.0943  -97.5917   38.2836   -0.7334   -9.7592   27.7910
    0.0944  -98.2287   37.3013   -0.6370   -9.8229   26.8413
    0.0945  -98.7688   36.3136   -0.5401   -9.8769   25.8966
    0.0946  -99.2115   35.3215   -0.4426   -9.9211   24.9577
    0.0947  -99.5562   34.3259   -0.3447   -9.9556   24.0256
    0.0948  -99.8027   33.3279   -0.2465   -9.9803   23.1011
    0.0949  -99.9507   32.3284   -0.1480   -9.9951   22.1853
    0.0950 -100.0000   31.3284   -0.0493  -10.0000   21.2790
    0.0951  -99.9507   30.3289    0.0493   -9.9951   20.3831
    0.0952  -99.8027   29.3308    0.1480   -9.9803   19.4986
    0.0953  -99.5562   28.3353    0.2465   -9.9556   18.6261
    0.0954  -99.2115   27.3432    0.3447   -9.9211   17.7667
    0.0955  -98.7688   26.3555    0.4426   -9.8769   16.9212
    0.0956  -98.2287   25.3732    0.5401   -9.8229   16.0904
    0.0957  -97.5917   24.3973    0.6370   -9.7592   15.2751
    0.0958  -96.8583   23.4287    0.7334   -9.6858   14.4762
    0.0959  -96.0294   22.4684    0.8289   -9.6029   13.6944
    0.0960  -95.1057   21.5173    0.9237   -9.5106   12.9305
    0.0961  -94.0881   20.5765    1.0176   -9.4088   12.1852
    0.0962  -92.9776   19.6467    1.1104   -9.2978   11.4593
    0.0963  -91.7755   18.7289    1.2022   -9.1775   10.7536
    0.0964  -90.4827   17.8241    1.2928   -9.0483   10.0686
    0.0965  -89.1007   16.9331    1.3821   -8.9101    9.4051
    0.0966  -87.6307   16.0568    1.4700   -8.7631    8.7637
    0.0967  -86.0742   15.1960    1.5565   -8.6074    8.1451
    0.0968  -84.4328   14.3517    1.6414   -8.4433    7.5498
    0.0969  -82.7081   13.5246    1.7247   -8.2708    6.9786
    0.0970  -80.9017   12.7156    1.8064   -8.0902    6.4318
    0.0971  -79.0155   11.9255    1.8862   -7.9016    5.9101
    0.0972  -77.0513   11.1549    1.9642   -7.7051    5.4140
    0.0973  -75.0111   10.4048    2.0402   -7.5011    4.9439
    0.0974  -72.8969    9.6759    2.1142   -7.2897    4.5004
    0.0975  -70.7107    8.9688    2.1862   -7.0711    4.0839
    0.0976  -68.4547    8.2842    2.2560   -6.8455    3.6947
    0.0977  -66.1312    7.6229    2.3235   -6.6131    3.3333
    0.0978  -63.7424    6.9855    2.3888   -6.3742    3.0000
    0.0979  -61.2907    6.3726    2.4517   -6.1291    2.6952
    0.0980  -58.7785    5.7848    2.5122   -5.8779    2.4191
    0.0981  -56.2083    5.2227    2.5702   -5.6208    2.1721
    0.0982  -53.5827    4.6869    2.6257   -5.3583    1.9543
    0.0983  -50.9041    4.1778    2.6785   -5.0904    1.7660
    0.0984  -48.1754    3.6961    2.7288   -4.8175    1.6073
    0.0985  -45.3990    3.2421    2.7763   -4.5399    1.4785
    0.0986  -42.5779    2.8163    2.8211   -4.2578    1.3796
    0.0987  -39.7148    2.4192    2.8631   -3.9715    1.3108
    0.0988  -36.8125    2.0510    2.9023   -3.6812    1.2721
    0.0989  -33.8738    1.7123    2.9387   -3.3874    1.2636
    0.0990  -30.9017    1.4033    2.9721   -3.0902    1.2852
    0.0991  -27.8991    1.1243    3.0026   -2.7899    1.3370
    0.0992  -24.8690    0.8756    3.0301   -2.4869    1.4188
    0.0993  -21.8143    0.6575    3.0547   -2.1814    1.5307
    0.0994  -18.7381    0.4701    3.0762   -1.8738    1.6725
    0.0995  -15.6434    0.3136    3.0947   -1.5643    1.8440
    0.0996  -12.5333    0.1883    3.1101   -1.2533    2.0451
    0.0997   -9.4108    0.0942    3.1225   -0.9411    2.2756
    0.0998   -6.2791    0.0314    3.1318   -0.6279    2.5353
    0.0999   -3.1411    0.0000    3.1380   -0.3141    2.8239
